en,tw,cn,type,clues,avoid_clues,note
plastic,塑膠,塑料,cross_strait,,,
Tajikistan,塔吉克,塔吉克斯坦,cross_strait,,,@geo country (國名)
Sierra Leone,獅子山,塞拉利昂,cross_strait,,,@geo country (國名)
Cyprus,塞普勒斯,塞浦路斯,cross_strait,,,@geo country (國名)
Seychelles,塞席爾,塞舌爾,cross_strait,,,@geo country (國名)
increment operator,累加運算子,增加操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
augmented reality,擴增實境,增強現實,cross_strait,,,
cuttlefish / squid,花枝,墨魚,cross_strait,,,
wallpaper,桌布,墻紙,cross_strait,,,
wallpaper,桌布,壁紙,cross_strait,,,
compressed archive,壓縮檔,壓縮包,cross_strait,程式；軟體；系統；電腦；網路,,
enclosing class,外圍類別,外圍類,cross_strait,,,
external,外接,外置,cross_strait,,,
peripheral,硬體周邊,外設,cross_strait,,,
foreign key,外部索引鍵,外鍵,cross_strait,,,
multi-agent system,多代理系統,多主體系統,cross_strait,,,
multitasking/multi-tasking,多工,多任務,cross_strait,,,
multinational company,跨國公司,多國家公司,cross_strait,,,
multihomed,多重主機,多宿主,cross_strait,,,multihomed host
polymorphism,多型,多態,cross_strait,,,
multicore/multi-core,多核,多核心,cross_strait,,,為了區隔 multi-kernel 這樣的「多核心」，multicore 翻譯為「多核」(@seealso 內核)
Dominican Republic,多明尼加,多米尼加,cross_strait,,,@geo country (國名)
multithreading/multi-threading,多執行緒,多線程,cross_strait,,,
thread safe,多執行緒安全,多線程安全,cross_strait,,,
mainframe,大型電腦,大型機,cross_strait,程式；軟體；系統；電腦；網路,,
blunt truth,真心話；實話；真話；人話,大實話,cross_strait,,,
large file,大檔案,大文件,cross_strait,,,
show off,大顯身手；大展身手；展現；發揮,大秀一波,cross_strait,,,
Chinese remainder theorem,中國剩餘定理,大衍求一術,cross_strait,,,秦九韶《數書九章》中的同餘求解法，tw 通稱「中國剩餘定理」
soybean paste / miso,味噌,大醬,cross_strait,,,
mainland compatriots,中國民眾,大陸同胞,political_coloring,,,
large area / large scale,大範圍,大面積,cross_strait,,,
Mercedes-Benz,賓士,奔馳,cross_strait,,,
socket,Socket,套接字,cross_strait,,,
Obama,歐巴馬,奧巴馬,cross_strait,,,@person politics (政治人物)
cheese,乳酪,奶酪,cross_strait,,,
"if you need help, please contact",如需協助請聯絡,如需協助請聯繫,cross_strait,,,客服 CTA；避免把日常用法「聯繫」一概改寫
delegate,委派,委託,cross_strait,程式；事件；回呼；C#；.NET；型別,,tw「委託」= entrust；僅程式設計 delegate 義改「委派」
extramarital affair,婚外情,婚外戀,cross_strait,,,
refined / elegant (char variant),嫻,嫺,variant,,,MoE 標準字體 (@example 嫻雅、嫻熟)
"Gui (river name, char variant)",媯,嬀,variant,,,MoE 標準字體 (姓氏)
subdomain,子網域,子域名,cross_strait,DNS；網域；網址；伺服器,,
child process,子代行程,子常式,cross_strait,行程；fork；exec；PID；wait；exit；核心；排程,,"OpenCC 可能將子進程誤植為子常式 (subroutine); tw 正確用語為子代行程 (@seealso 父行程, 父子常式)"
child process,子行程,子程序,cross_strait,行程；fork；exec；PID；wait；exit；核心；排程；親代；CPU；記憶體；狀態；作業系統,,OpenCC 可能將子進程轉為子程序；OS 語境下指 child process (@seealso 子進程)
subnet mask,子網路遮罩,子網掩碼,cross_strait,,,
child process,子行程,子進程,cross_strait,,,"tw: 子行程, cn: 子進程 (@seealso 父行程, 父子常式)"
child class,子類別,子類,cross_strait,,,
subtype,子型別,子類型,cross_strait,,,
font library,字型檔,字庫,cross_strait,,,
field,欄位,字段,cross_strait,,,
character set,字元集,字符集,cross_strait,,,
byte,位元組,字節,cross_strait,,跳動；TikTok；抖音,
word processor,文書處理器,字處理器,cross_strait,,,
font size,字級,字號,cross_strait,字型；文字；大小；pt；CSS,,限 GUI/HCI 語境。指號碼與代號時，仍可用，如「公文字號」和「身分證字號」
literal,字面值；原詞,字面量,cross_strait,常數；字串；編譯；程式碼；型別；代碼,,
font,字型,字體,confusable,設計；風格；家族；font；family,,區分特定組合 (字型) 與整套設計風格 (字體)
storage,儲存,存儲,cross_strait,,,
memory card,記憶卡,存儲卡,cross_strait,,,
memory/storage,記憶體,存儲器,cross_strait,,,
stored procedure,預存程序,存儲過程,cross_strait,SQL；資料庫；呼叫；參數,,
save to disk,存檔,存盤,cross_strait,,,
Bangladesh,孟加拉,孟加拉國,cross_strait,,,@geo country (國名)
orphan process,孤兒行程,孤兒程序,cross_strait,,,orphan process；「程序」此處指 process (@seealso 程序管理)
Chinese remainder theorem,中國剩餘定理,孫子剩餘定理,cross_strait,,,cn「孫子定理」= tw「中國剩餘定理」(CRT)
astronaut,太空人,宇航員,cross_strait,,,
daemon,系統守護行程,守護進程,cross_strait,Linux；Unix；背景；服務；系統,,限 Unix 風格之作業系統語境
security,保全,安保,cross_strait,,,tw: 保全 (security guard/security); cn: 安保
security audit,資安稽核,安全審計,cross_strait,漏洞；稽核；合規,,
Android,Android,安卓,cross_strait,,,
Antigua and Barbuda,安地卡及巴布達,安提瓜和巴布達,cross_strait,,,@geo country (國名)
installer/package,安裝檔,安裝包,cross_strait,下載；軟體；APP,,
macro,巨集,宏,cross_strait,macro；define；預處理；展開；巨集；C語言；編譯器；標頭檔；C 語言,,
monolithic kernel,單體式核心,宏內核,cross_strait,,,
monolithic kernel,單體式核心,宏核心,cross_strait,,,monolithic kernel 的 cn 用法；tw 用「單體式核心」以區分 kernel (核心)
qualitative research,質性研究,定性研究,cross_strait,,,
time deposit,定存,定期存款,cross_strait,,,
quantitative research,量化研究,定量研究,cross_strait,,,
client-server,主從架構,客戶/服務器,cross_strait,,,
customer satisfaction,顧客滿意,客戶滿意,cross_strait,,,
client,用戶端,客戶端,cross_strait,,,
register,暫存器,寄存器,cross_strait,CPU；處理器；指令；記憶體；架構；組合語言；組譯；ALU；暫存,,限 CPU/硬體語境。cash register 翻譯為「收銀機」，不適用本規則
key (cryptographic),金鑰,密鑰,cross_strait,,,
instance,實體；例項；具現體；具現化實體,實例,cross_strait,物件；對象；類別；class；new；建構；方法；OOP；繼承；多型；介面；實體化；具現化,,依 MoE 辭典，「實例」僅有 example (實際例子) 之意。程式設計中 instance 應譯「實體」或「具現體」，不可借用「實例」
instantiated,具現化；實體化,實例化,cross_strait,,,
argument,引數,實參,cross_strait,,,
solid / genuine,穩紮穩打；實實在在,實打實,cross_strait,,,
real-time,即時,實時,cross_strait,,,即時 = 在指定或預期的時間範圍內務必達成。just in time = 及時 (略晚但在可容許的範圍內)，二者語意不同
real mode,真實模式,實模式,cross_strait,,,
implement,實作,實現,cross_strait,函式；函數；介面；接口；程式碼；代碼；類別；方法；演算法；算法；模組；編譯；核心；驅動；系統呼叫；API；IPC,,implement 語境；非 IT 語境可表示 realize，為正確 tw 用法
physical core,實體核,實體核心,cross_strait,,,"compound:physical core = 實體核；processor core 用「核」(@seealso CPU核心, 物理核心)"
audit/review,稽核,審覈,cross_strait,,,
write protection,防寫,寫保護,cross_strait,,,
write file,寫入檔案,寫文件,cross_strait,,,compound: cn 文件 = tw 檔案 + cn 寫 = tw 寫入 (非口語語境)
broadband,寬頻,寬帶,cross_strait,,,tw 用語採取「頻」而非「帶」
reassurance,定心丸,寬心丸,cross_strait,,,
ban,封鎖,封禁,cross_strait,,,
address (verb),定址,尋址,cross_strait,,,
dialog box,對話方塊；對話窗；對話盒,對話框,cross_strait,,,tw「對話方塊」為 Microsoft 用語；「對話窗」「對話盒」亦常見
object,物件,對象,cross_strait,類別；屬性；方法；繼承；封裝；多型；實例；程式碼；代碼；介面；函式,批評,
object model,物件模型,對象模型,cross_strait,,,
import,匯入,導入,cross_strait,,,
export,匯出,導出,cross_strait,,,
advisor/supervisor,指導教授,導師,cross_strait,論文；研究；碩士；博士；指導,,限學術語境。cn「導師」；tw 用「指導教授」(advisor/supervisor)
fuse,導火線,導火索,cross_strait,,,
navigate,導覽,導航,cross_strait,網站；網頁；選單；UI；側邊欄,衛星；GPS；汽車；路線,tw「導航」= GPS navigation；網站/UI navigation 改「導覽」
navigation bar,導覽列,導航欄,cross_strait,網頁；瀏覽器；選單；UI；介面；導覽,,
portable cassette player,隨身聽,小型單放機,cross_strait,,,
private stash / slush fund,私房錢,小金庫,cross_strait,,,
e-scooter,電動自行車,小電驢,cross_strait,,,
Euler,歐拉,尤拉,cross_strait,公式；恆等式；定理；數學；函數；常數,,@person science (數學/物理)
ready process,就緒狀態的行程,就緒進程,cross_strait,,,compound:就緒＋進程，tw 慣用「就緒狀態的行程」較通順 (@seealso 進程)
Nigeria,奈及利亞,尼日利亞,cross_strait,,,@geo country (國名)
Niger,尼日,尼日爾,cross_strait,,,@geo country (國名)
exhaust measurement,排氣測量,尾氣測量,cross_strait,,,
LAN (local area network),區域網路,局域網,cross_strait,,,
local,區域性,局部,cross_strait,變數；變量；函式；函數；local；區域；全域,局部細節；局部最；局部地區；局部區域,local variable/scope 語境；「局部」(partial/local area) 為標準 tw 用法
local object,區域物件,局部對象,cross_strait,,,
partial specialization,偏特化,局部特化,cross_strait,,,
local,區域的,局部的,cross_strait,變數；變量；函式；函數；作用域；生存空間,,
local variable,區域變數,局部變量,cross_strait,,,
resident identity card,國民身分證,居民身分證,cross_strait,,,
screensaver,螢幕保護程式,屏保,cross_strait,,,
screen,螢幕,屏幕,cross_strait,,,projection screen (電影院) = 銀幕，與電子顯示裝置用途不同
snapshot,螢幕截圖；螢幕快照,屏幕截圖,cross_strait,,,
block,封鎖,屏蔽,cross_strait,,,
hierarchy,階層結構；階層；階層體系,層次結構,cross_strait,,,
mountain bike,登山車,山地車,cross_strait,,,
Gambia,甘比亞,岡比亞,cross_strait,,,@geo country (國名)
peak (char variant),峰,峯,variant,,,MoE 標準字體 (@example 山峰、高峰)
nested,巢狀,嵌套,cross_strait,,,
nested class,巢狀類別,嵌套類,cross_strait,,,
workgroup,工作群組,工作組,cross_strait,程式；軟體；系統；電腦；網路,,
toolbar,工具列,工具欄,cross_strait,瀏覽器；選單；按鈕；視窗；介面；UI,,
project,專案,工程,cross_strait,專案；項目；管理；IDE；開發,,限 project 語境。「軟體工程」(software engineering) 為正確 tw 用法
super delicious,超好吃,巨好吃,cross_strait,,,
monolithic kernel,單體式核心,巨集核心,cross_strait,,,OpenCC artifact: 宏→巨集 (macro) 誤轉；monolithic kernel 應為「單體式核心」
Barcelona,巴塞隆納,巴塞羅那,cross_strait,,,@geo city (城市)
Barbados,巴貝多,巴巴多斯,cross_strait,,,@geo country (國名)
Papua New Guinea,巴布亞紐幾內亞,巴布亞新幾內亞,cross_strait,,,@geo country (國名)
Baroque art,巴洛克藝術,巴羅克藝術,cross_strait,,,
market segmentation,市場區隔,市場細分,cross_strait,,,
market research,市場調查,市場調研,cross_strait,,,
price-to-book ratio / P/B ratio,股價淨值比,市淨率,cross_strait,股票；估值；投資；淨值,,
price-to-earnings ratio / P/E ratio,本益比,市盈率,cross_strait,股票；估值；投資；財報,,
Bush,布希,布什,cross_strait,總統；美國；白宮；共和黨；政治,,@person politics (政治人物)
Burkina Faso,布吉納法索,布基納法索,cross_strait,,,@geo country (國名)
Boolean,布林,布爾,cross_strait,,,
Boolean algebra,布林代數,布爾代數,cross_strait,,,
boolean,布林值,布爾值,cross_strait,,,
Burundi,蒲隆地,布隆迪,cross_strait,,,@geo country (國名)
Hillary Clinton,希拉蕊,希拉里,cross_strait,,,@person politics (政治人物)
Palau,帛琉,帕勞,cross_strait,,,@geo country (國名)
Parkinson's disease,帕金森氏症,帕金森,cross_strait,疾病；神經；症狀；治療,,
post,貼文,帖子,cross_strait,,,
bandwidth,頻寬,帶寬,cross_strait,,,
steer the narrative,帶風向,帶節奏,cross_strait,,,
frame synchronization,影格同步化,幀同步,cross_strait,程式；軟體；系統；電腦；網路,,
frame rate,影格率,幀率,cross_strait,,,
tablet computer,平板,平板電腦,cross_strait,,,
one / tiny (char variant),么,幺,variant,,,MoE 標準字體 (「幺」為異體)
slide,投影片,幻燈片,cross_strait,,,
what do you mean,什麼意思,幾個意思,cross_strait,,,
Guinea-Bissau,幾內亞比索,幾內亞比紹,cross_strait,,,@geo country (國名)
probability,機率,幾率,cross_strait,,,
bed scene,床戲,床上戲,cross_strait,,,
base price / reserve price,基價，底價,底板價,cross_strait,,,
library function,程式庫函式,庫函式,cross_strait,,,OpenCC 可能將庫函數轉為庫函式但未修正語序；tw「程式庫函式」(@seealso 庫函數)
library function,程式庫函式,庫函數,cross_strait,,,cn 語序「庫函數」= library function；tw 語序「程式庫函式」避免「函式庫函式」的詞彙重複
school-enterprise linkage,建教合作,廠校掛鉤,cross_strait,,,
ad slot,廣告區,廣告位,cross_strait,程式；軟體；系統；電腦；網路,,
commercial film,廣告片,廣告電影,cross_strait,,,
WAN (wide area network),廣域網路,廣域網,cross_strait,,,
export,匯出,引出,cross_strait,匯入；export；import；CSV；JSON；PDF；報表,,僅限資料匯出語境；引出用於「帶出、引起」時為正確用法
bootloader,開機程式,引導程序,cross_strait,,,
bring manufacturers into stores,專櫃,引廠進店,cross_strait,,,
Freud,佛洛伊德,弗洛伊德,cross_strait,,,@person science (心理學)
popup,彈出視窗,彈窗,cross_strait,廣告；視窗；阻擋；瀏覽器；通知,,
assembly,組譯,彙編,cross_strait,,,
assembler,組譯器,彙編器,cross_strait,,,
assembly language,組合語言,彙編語言,cross_strait,,,
lottery ticket,彩券,彩票,cross_strait,,,
video wall,電視牆,彩電牆,cross_strait,,,
video stream,影片串流,影片流,cross_strait,程式；軟體；系統；電腦；網路,,
audiovisual stream,影音串流,影音流,cross_strait,程式；軟體；系統；電腦；網路,,
background traffic,背景流量,後台流量,cross_strait,,,
background process,背景程式；背景行程,後台進程,cross_strait,,,
suffix,字尾,後綴,cross_strait,,,
posterior probability,事後機率,後驗機率,cross_strait,,,
secondary node,從屬節點,從節點,cross_strait,主節點；叢集；複製,,
thereby reduce,進而減少,從而減少,cross_strait,,,
second-run film,二輪片,復映片,cross_strait,,,
loop,迴圈,循環,confusable,for；while；代碼；程式碼；變量；變數；陣列；數組；遍歷；走訪,,限程式設計語境。非程式語境中「循環」仍正確 (如「循環經濟」)
microtransaction,小額支付；小額付款,微交易,cross_strait,,,
micro-average,微觀平均,微平均,cross_strait,程式；軟體；系統；電腦；網路,,
volunteer,志工；義工,志願者,cross_strait,,,
busy waiting,忙碌等待,忙等待,cross_strait,,,
shortcut,捷徑,快捷方式,cross_strait,桌面；檔案；建立；捷徑；鍵盤,,
shortcut key,快速鍵,快捷鍵,cross_strait,,,
quick sort,快速排序,快排,cross_strait,,,
rewind,倒帶,快退,cross_strait,,,
fast forward,快轉,快進,cross_strait,,,
cost-performance ratio,價效比,性價比,cross_strait,,,
restore/recover,還原；復原,恢復,cross_strait,系統；備份；預設；設定；出廠；資料,,cn「恢復」；tw 用「還原」或「復原」(restore/recover)
recovery record,恢復記錄,恢覆記錄,cross_strait,,,
Sydney,雪梨,悉尼,cross_strait,,,@geo city (城市)
Sydney Opera House,雪梨歌劇院,悉尼歌劇院,cross_strait,,,@geo landmark (地標)
emotion detection,情感偵測,情感發現,cross_strait,,,
scene mode / profile mode,情境模式,情景模式,cross_strait,,,cn 「情景」；tw 用「情境」
Italy,義大利,意大利,cross_strait,,,@geo country (國名)
companion animal / pet,寵物,愛侶動物,cross_strait,,,
mercy killing / euthanasia,安樂死,慈悲殺人,cross_strait,,,
panic badly,十分慌張,慌得一批,cross_strait,,,
slow motion,慢動作,慢運動,cross_strait,,,
application,應用程式,應用程序,cross_strait,,,
application framework,應用程式框架；應用框架,應用程序框架,cross_strait,,,
lazy loading,惰性載入；延遲載入,懶加載,cross_strait,,,
hover,暫留,懸停,cross_strait,,,指將滑鼠指標暫時停留於畫面某處上
member function,成員函式,成員函數,cross_strait,,,
member access operator,成員取用運算子,成員存取操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
data member,成員變數；資料成員,成員變量,cross_strait,,,
capture/extract,擷取,截取,cross_strait,,,
screenshot,螢幕截圖,截屏,cross_strait,,,
strategy,策略,戰略,cross_strait,企業；商業；規劃；佈局；長期,,strategy
Solomon Islands,索羅門群島,所羅門羣島,cross_strait,,,@geo country (國名)
Solomon Islands,索羅門群島,所羅門群島,cross_strait,,,@geo country (國名)
manual transmission,手排,手動檔,cross_strait,,,
escalator,電扶梯,手扶電梯,cross_strait,,,
flashlight,手電筒,手電,cross_strait,,,
print,列印,打印,cross_strait,,,紙本輸出 vs 螢幕/主控台顯示
printer,印表機,打印機,cross_strait,,,
disrupt / sabotage,攪局,打橫泡,cross_strait,,,
just passing by / not involved,湊熱鬧；偶然路過,打醬油,cross_strait,,,
open,開啟,打開,cross_strait,檔案；連結；頁面；視窗；應用,心扉；門窗；窗戶；大門,tw「打開」= open physically (打開門)；UI open 改「開啟」
batch processing,批次處理,批處理,cross_strait,,,"tw: 批次處理, cn: 批處理"
batch,批次,批量,cross_strait,,,
batch processing,批次處理,批量處理,cross_strait,,,compound:「批量處理」整體替換，避免基礎規則「批量→批次」留下孤立的「處理」(@seealso 批量)
depression,憂鬱症,抑鬱症,cross_strait,,,
claw machine,夾娃娃機,抓娃娃機,cross_strait,,,
grab spare time,抽空,抓空字,cross_strait,,,
projector,投影機,投影儀,cross_strait,,,
return on investment (ROI),投資報酬率,投資回報率,cross_strait,,,
dithering,遞色,抖色,cross_strait,,,
block (social media),封鎖,拉黑,cross_strait,,,
throw (exception),丟出,拋出,cross_strait,例外；catch；try；throw；錯誤；異常,,
denial-of-service / DoS,阻斷服務,拒絕服務,cross_strait,攻擊；DDoS；DoS；安全,,
drag,拖曳,拖拽,cross_strait,,,
recruitment,招募,招聘,cross_strait,求職；職缺；應徵；人才,,
copy,複製,拷貝,cross_strait,,,
persistence,永續性,持久性,cross_strait,,,
continuous integration (CI),持續整合,持續集成,cross_strait,,,
pointer,指標,指針,cross_strait,記憶體；內存；位址；指標；malloc；參照,,不同於 index
pass by value,傳值,按值傳遞,cross_strait,,,
pass by reference,傳址,按引用傳遞,cross_strait,,,
excavator,挖土機,挖掘機,cross_strait,,,
catch (exception),抓取,捕獲,cross_strait,例外；異常；try；catch；throw；錯誤處理；error；拋出；丟出,,依 MoE 辭典，「捕獲」指捉拿人犯或動物。程式設計中 catch (exception) 應譯「抓取」，避免濫用
convolution,摺積,捲積,cross_strait,,,
scanner,掃描器,掃描儀,cross_strait,,,
hang up,結束通話,掛斷,cross_strait,,,
hang / suspend,凍結；當機；卡死；暫停；擱置,掛起,cross_strait,,,cn「掛起」兼指 hang（程式/系統凍結，譯為凍結/當機/卡死）與 suspend（任務/執行緒暫停，譯為暫停/擱置）；tw 依語境分別選用
sampling,取樣,採樣,cross_strait,,,
sampling rate,取樣率,採樣率,cross_strait,,,
family-visit leave,省親假,探親假,cross_strait,,,
access multiplexer,接取多工器,接入覆用器,cross_strait,,,
access point,存取點,接入點,cross_strait,程式；軟體；系統；電腦；網路,,
interface,介面,接口,cross_strait,API；函數；函式；類別；定義；實現；實作；調用；呼叫；軟件；軟體,,硬體 connector/port = 接頭/連接埠
down-to-earth,親民,接地氣,cross_strait,,,
control (UI),控制項；控制元件,控件,cross_strait,,,
console,主控台,控制台,cross_strait,程式；程序；終端；命令；主控台,,限程式設計/IT 語境
control panel,控制台,控制面板,cross_strait,視窗；設定；系統；管理,,
defer,延緩,推遲,cross_strait,求值；初始化；排程；任務；非同步,會議；選舉；比賽,tw「推遲」= postpone (推遲會議)；IT defer 改「延緩」
plugin,外掛程式,插件,cross_strait,,,
handshake,交握,握手,cross_strait,,,
search,搜尋,搜索,cross_strait,關鍵字；查詢；索引；引擎；結果,搜索令；搜索票；法院,tw「搜索」用於法律 (搜索令)；IT search 義改「搜尋」
search box,搜尋框,搜索框,cross_strait,輸入；查詢；搜尋；UI；介面,,
motorcycle,機車,摩托車,cross_strait,,,
background removal,去背,摳圖,cross_strait,,,
Thatcher,柴契爾,撒切爾,cross_strait,,,@person politics (政治人物)
undo,復原,撤銷,cross_strait,復原；操作；Ctrl；上一步；編輯,,cn「撤銷」；tw 用「復原」(undo)
podcast,,播客,cross_strait,,,
operand,運算元,操作數,cross_strait,,,「元」意指「基本的/元素」(參考《遠流中文活用大辭典》)，即「用來進行運算的基本單元」
operator,運算子,操作符,cross_strait,,,「子」(非語尾綴詞) 意指「從事某種職業的人」(如學子、舟子)，故「運算子」即「進行運算者」
operating system,作業系統,操作系統,cross_strait,,,
lift / raise (char variant),抬,擡,variant,,,MoE 標準字體 (@example 抬頭、抬舉)
extension,擴充,擴展,cross_strait,,,
file extension,副檔名,擴展名,cross_strait,,,
docking station,擴充埠；擴充集線器,擴展塢,cross_strait,,,
video camera,攝錄影機,攝像機,cross_strait,程式；軟體；系統；電腦；網路,,
camera,攝影機,攝像頭,cross_strait,,,
stall,攤位,攤床,cross_strait,,,
stall,攤位,攤檔,cross_strait,,,
support,支援,支持,cross_strait,軟體；軟件；瀏覽器；裝置；設備；協定；協議；格式；驅動；硬體；硬件；函式；函數；API,,「支持」偏指「贊成/背書」(endorse)；技術語境中 support = 支援 (如「瀏覽器支援此功能」)。政治/日常語境的「支持」為正確 tw 用法
relay station,轉播站,收轉臺,cross_strait,,,
let oneself go,隨心所欲；不受拘束；我行我素,放飛自我,cross_strait,,,
political asylum,政治庇護,政治避難,cross_strait,,,
feature film,劇情片,故事片,cross_strait,,,
first-aid kit,急救箱,救生盒,cross_strait,,,
hash,雜湊,散列,cross_strait,,,
hash table,雜湊表,散列表,cross_strait,,,
demarshal,反編列,散集,cross_strait,,,
integer (integral),整數型,整型,cross_strait,,,
digital,數位,數字,cross_strait,技術；轉型；電視；廣播；影像；音訊；媒體,,「數字化/數字技術」(digital) tw 用「數位」；「數字」作為 number/figure 為正確 tw 用法
digital printing,數位印刷,數字印刷,cross_strait,,,
digital disc,數位唱片,數字唱片,cross_strait,,,
digital signature,數位簽章,數字簽名,cross_strait,,,
digital electronics,數位電子,數字電子,cross_strait,,,
digital circuit,數位電路,數字電路,cross_strait,,,
data,資料,數據,cross_strait,,,資料涵蓋文字、聲音、影像等所有形式的紀錄。「數據」僅指純數值資料，不應一律代替 data。「data and number」應譯為「資料與數據」
data warehouse,資料倉儲,數據倉庫,cross_strait,,,
packet,封包,數據包,cross_strait,,,
datagram,資料包,數據報,cross_strait,,,
database,資料庫,數據庫,cross_strait,,,「數據」僅指數值資料，database 涵蓋所有形式的資料 (@seealso 數據)
database schema,資料庫結構綱目,數據庫結構綱目,cross_strait,,,
data member,資料成員；成員變數,數據成員,cross_strait,,,
data mining,資料探勘,數據挖掘,cross_strait,,,
stream,資料流；串流,數據流,cross_strait,,,
data source,資料來源,數據源,cross_strait,,,
data structure,資料結構,數據結構,cross_strait,,,
data type,資料型別,數據類型,cross_strait,,,程式設計語境中慣用「型別」
digital,數位,數碼,cross_strait,,,
digital camera,數位相機,數碼相機,cross_strait,,,
array,陣列,數組,cross_strait,,,
file,檔案,文件,disabled,,,tw 「文件」= document (正確用法)；cn 「文件」= file。裸詞歧義無法消歧，停用以避免誤判。複合詞 (文件夾→資料夾、頭文件→標頭檔) 不受影響 (@seealso 文檔)
file content,檔案內容,文件內容,cross_strait,檔案；路徑；I/O；磁碟；目錄；open；read；write；讀取；寫入,,限檔案 I/O 語境。「文件內容」(document content) 為標準 tw 用法
filename,檔名,文件名,cross_strait,,,
folder,資料夾,文件夾,cross_strait,,,針對 Windows 環境 (@seealso 資源管理器)
file descriptor,檔案描述子,文件描述符,cross_strait,,,「符」在繁體中文有宗教暗示；「描述子」與「運算子」(operator) 命名邏輯一致
file operation,檔案操作,文件操作,cross_strait,,,
file extension,副檔名,文件擴展名,cross_strait,,,
filesystem/file system,檔案系統,文件系統,cross_strait,磁碟；掛載；分割區；inode；目錄,,
recreational activities,康樂活動,文娛活動,cross_strait,,,
word processing,文書處理,文字處理,cross_strait,,,
text file,文字檔,文本文件,cross_strait,,,
text box,文字方塊,文本框,cross_strait,表單；輸入；UI；介面；欄位,,
document,文件,文檔,cross_strait,,,cn 混用 file/document，tw 區分「檔案」(file) 與「文件」(document) (@seealso 文件)
literature review,文獻探討,文獻綜述,cross_strait,,,
Brunei,汶萊,文萊,cross_strait,,,@geo country (國名)
Stanford,史丹福,斯坦福,cross_strait,,,@geo university (大學)
Stalin,史達林,斯大林,cross_strait,,,
Eswatini/Swaziland,史瓦濟蘭,斯威士蘭,cross_strait,,,@geo country (國名)
Slovenia,斯洛維尼亞,斯洛文尼亞,cross_strait,,,@geo country (國名)
Sri Lanka,斯里蘭卡,斯裡蘭卡,cross_strait,,,@geo country (國名)
Snowden,史諾登,斯諾登,cross_strait,,,
new/create,新增；建立,新建,cross_strait,,,UI create/new
New Zealand,紐西蘭,新西蘭,cross_strait,,,@geo country (國名)
breakpoint,中斷點,斷點,cross_strait,,,
instant noodles,泡麵；速食麵,方便麪,cross_strait,,,
instant noodles,泡麵,方便麵,cross_strait,,,
bracket (square bracket),中括弧；中括號,方括弧,cross_strait,,,
bracket (square bracket),中括弧；中括號,方括號,cross_strait,,,
tourism bureau,觀光局,旅遊局,cross_strait,,,
tour bus,遊覽車,旅遊車,cross_strait,,,
agritourism,觀光農業,旅遊農業,cross_strait,,,
log,記錄檔；紀錄,日誌,confusable,伺服器；服務器；系統；錯誤；除錯；偵錯；調試；輸出,,限 IT 語境。旅行/個人日誌為正確 tw 用法
good morning,早安,早上好,cross_strait,,,
volatility,揮發性,易失性,cross_strait,程式；軟體；系統；電腦；網路,,
pull-tab can,易開罐,易拉罐,cross_strait,,,
time-division multiple access (TDMA),分時多重進接,時分多址,cross_strait,,,
time-division multiplexing (TDM),分時多工,時分複用,cross_strait,,,
clock frequency,時脈頻率,時鐘頻率,cross_strait,,,
timeslice,時間片段,時間片,cross_strait,,,"tw: 時間片段, cn: 時間片"
good evening,晚安,晚上好,cross_strait,,,
Pulitzer Prize,普利茲獎,普利策獎,cross_strait,,,
thyristor,閘流體,晶閘管,cross_strait,,,
transistor,電晶體,晶體管,cross_strait,,,
educational toy / puzzle,益智玩具,智力玩具,cross_strait,,,
mentally disabled person,智能障礙人士,智殘人,cross_strait,,,
smartphone,智慧型手機,智能手機,cross_strait,,,
AI agent,智慧型代理人,智能體,cross_strait,,,
most derived class,最末層衍生類別,最底層派生類,cross_strait,,,
most critical / most core,最關鍵；最主要,最核心,confusable,程式；軟體；系統；模組；架構；演算法,,「核心」保留給 kernel (OS/ML)；形容詞用「關鍵」或「主要」避免語意混淆
end user,終端使用者,最終用戶,cross_strait,,,
session hijacking,連線劫持,會話劫持,cross_strait,,,
session identifier,交談識別碼,會話標識,cross_strait,,,
to be fair / honestly,平心而論；實話實說；就事論事；說真的；老實說,有一說一,cross_strait,,,
lossy compression,有失真壓縮,有損壓縮,cross_strait,,,
organic traffic,自然搜尋流量,有機流量,cross_strait,,,
supervised learning,監督式學習,有監督的學習,cross_strait,,,
finite automaton,有限自動機,有窮自動機,cross_strait,,,
waiter / attendant,服務生,服務員,cross_strait,,,
server,伺服器,服務器,cross_strait,,,
service framework,服務架構,服務框架,cross_strait,,,
service process,服務行程,服務程序,cross_strait,,,service process / daemon；「程序」此處指 process (@seealso 程序管理)
server,伺服端；伺服器,服務端,cross_strait,,,
trojan,木馬程式,木馬,cross_strait,病毒；惡意；安全；感染,,trojan
native code,原生碼,本地代碼,cross_strait,編譯；JIT；執行；機器碼；原生；程式碼,,
undergraduate,大學部,本科,cross_strait,學位；研究所；大學；學士,,
undergraduate student,大學生,本科生,cross_strait,,,
ASEAN,東協,東盟,political_coloring,,,cn「東南亞國家聯盟」簡稱，tw「東南亞國家協會」簡稱
destructor,解構函式；解構式,析構函數,cross_strait,,,
enumeration,列舉,枚舉,cross_strait,,,
